bvid,dt,tz,type,productid,rootcategoryid,bvproduct
D,2/1/15 22:49,0,Category,,33006169,AskAndAnswer
D,2/1/15 22:50,0,Category,,33006169,AskAndAnswer
D,2/1/15 22:51,0,Category,,33006169,AskAndAnswer
D,2/1/15 22:51,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:10,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:10,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:12,0,Product,1529425,33006169,RatingsAndReviews
D,2/1/15 23:12,0,Product,1529425,33006169,AskAndAnswer
D,2/1/15 23:13,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:15,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:15,0,Product,2785165,33006169,RatingsAndReviews
D,2/1/15 23:15,0,Product,2785165,33006169,AskAndAnswer
D,2/1/15 23:17,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:18,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:18,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:24,0,Product,1529425,33006169,AskAndAnswer
D,2/1/15 23:24,0,Product,1529425,33006169,RatingsAndReviews
D,2/1/15 23:28,0,Category,,33006169,AskAndAnswer
D,2/1/15 23:28,0,Category,,33006169,AskAndAnswer
E,2/12/15 12:22,0,Category,,33006169,AskAndAnswer
E,2/12/15 12:23,0,Category,,33006169,AskAndAnswer
E,2/12/15 12:24,0,Product,7020265,33006169,RatingsAndReviews
E,2/12/15 12:24,0,Product,7020265,33006169,AskAndAnswer
E,2/12/15 12:24,0,Category,,33006169,AskAndAnswer
E,2/12/15 12:25,0,Product,7020100,33006169,RatingsAndReviews
E,2/12/15 12:25,0,Product,7020100,33006169,AskAndAnswer
E,2/12/15 12:26,0,Product,7020100,33006169,RatingsAndReviews
E,2/12/15 12:26,0,Product,7020100,33006169,AskAndAnswer
E,2/12/15 12:37,0,Category,,33006169,AskAndAnswer
E,2/12/15 12:37,0,Product,7020100,33006169,RatingsAndReviews
E,2/12/15 12:37,0,Product,7020100,33006169,AskAndAnswer
F,3/10/15 18:40,0,Category,,33006169,AskAndAnswer
F,3/10/15 18:41,0,Category,,33006169,AskAndAnswer
F,3/10/15 18:43,0,Product,1529425,33006169,RatingsAndReviews
F,3/10/15 18:43,0,Product,1529425,33006169,AskAndAnswer
F,3/10/15 18:46,0,Category,,33006169,AskAndAnswer
F,3/10/15 18:50,0,Product,2785165,33006169,RatingsAndReviews
F,3/10/15 18:50,0,Product,2785165,33006169,AskAndAnswer
G,3/26/15 17:51,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:52,0,Product,1529425,33006169,RatingsAndReviews
G,3/26/15 17:52,0,Product,1529425,33006169,AskAndAnswer
G,3/26/15 17:53,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:53,0,Product,2785165,33006169,RatingsAndReviews
G,3/26/15 17:53,0,Product,2785165,33006169,AskAndAnswer
G,3/26/15 17:54,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:55,0,Product,1529425,33006169,RatingsAndReviews
G,3/26/15 17:55,0,Product,1529425,33006169,AskAndAnswer
G,3/26/15 17:56,0,Product,1529425,33006169,RatingsAndReviews
G,3/26/15 17:56,0,Product,1529425,33006169,AskAndAnswer
G,3/26/15 17:56,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:57,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:57,0,Category,,33006169,AskAndAnswer
G,3/26/15 17:58,0,Product,2785165,33006169,RatingsAndReviews
G,3/26/15 17:58,0,Product,2785165,33006169,AskAndAnswer
G,3/26/15 17:59,0,Product,1292367,33006169,RatingsAndReviews
G,3/26/15 17:59,0,Product,1292367,33006169,AskAndAnswer
G,3/26/15 17:59,0,Product,2785165,33006169,RatingsAndReviews
G,3/26/15 17:59,0,Product,2785165,33006169,AskAndAnswer
G,3/26/15 18:00,0,Product,2785165,33006169,RatingsAndReviews
G,3/26/15 18:00,0,Product,2785165,33006169,AskAndAnswer
G,3/26/15 18:01,0,Product,1292367,33006169,RatingsAndReviews
G,3/26/15 18:01,0,Product,1292367,33006169,AskAndAnswer
G,3/26/15 18:02,0,Product,7020117,33006169,RatingsAndReviews
G,3/26/15 18:02,0,Product,7020117,33006169,AskAndAnswer
H,2/15/15 15:20,0,Product,1529425,33006169,RatingsAndReviews
H,2/15/15 15:20,0,Product,1529425,33006169,AskAndAnswer
H,2/15/15 15:21,0,Product,7020090,33006169,RatingsAndReviews
H,2/15/15 15:21,0,Product,7020090,33006169,AskAndAnswer
H,2/15/15 15:23,0,Product,1529425,33006169,RatingsAndReviews
H,2/15/15 15:23,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 11:22,0,Category,,33006169,AskAndAnswer
I,2/8/15 11:23,0,Category,,33006169,AskAndAnswer
I,2/8/15 11:23,0,Category,,33006169,AskAndAnswer
I,2/8/15 11:24,0,Category,,33006169,AskAndAnswer
I,2/8/15 11:26,0,Product,1529425,33006169,RatingsAndReviews
I,2/8/15 11:26,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 11:30,0,Product,7020100,33006169,RatingsAndReviews
I,2/8/15 11:30,0,Product,7020100,33006169,AskAndAnswer
I,2/8/15 11:31,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 11:31,0,Product,1529425,33006169,RatingsAndReviews
I,2/8/15 12:15,0,Product,1529425,33006169,RatingsAndReviews
I,2/8/15 12:15,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 14:01,0,Product,1529425,33006169,RatingsAndReviews
I,2/8/15 14:01,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 14:57,0,Product,1529425,33006169,RatingsAndReviews
I,2/8/15 14:57,0,Product,1529425,33006169,AskAndAnswer
I,2/8/15 15:57,0,Product,1529425,33006169,AskAndAnswer
